country|city|date|event|image|url|context

Saudi Arabia|Mecca|2005|Omra retreat in recognition of the top 100 students in the Sudanese High School Certificate examinations|none||
Denmark|Snekkersten|Dec 2017|Second International Modeling Immune System and Pathogen (MISP) Interactions Research Camp|none|||
South Africa|Cape Town|April 2015|H3ABionet Advanced GWAS modelling workshop at AIMs| none||
Tunisia|Tunis|March 2015| H3ABionet Introduction to Biostatistics for Genome Wide Association testing at IPT|none||
Uganda|Entebbe|10-12 Oct 2017|ISCB Africa ASBCB Conference on Bioinformatics | none||
Egypt|Qina|Nov 2016|18th Arab Students' innovation forum|none||
Sudan|Khartoum|2/2/1988|My birth!|none||
UAE|Abu Dhabi|1990-2004| Where I grew up| none||
Syria|Damascus||Family vacation|none||
Turkey|Istanbul||Family vacation|none||
Ethiopia|Addis Ababa| |Family vacation|none||
Saudi arabia|Mecca||Family vacation|none||
Malaysia|Kuala Lumpur|2009|Undergraduate training trip|none||
Egypt|Cairo|March 2012| Family vacation|none||

Sudan|Khartoum|2005-2010| BSc studies in Electrical and Electronic Engineering at the University of Khartoum| none|https://www.uofk.edu/index.php/en/|University of Khartoum
UK|Reading|2012/2013| MSc studies in Cybernetics at the University of Reading, 2012/2013| none|http://www.reading.ac.uk/|University of Reading
USA|Urbana|May-July 2016|H3ABioNet Internship at Carl R. Woese Institute for Genomic Biology, University of Illinois Urbana-Champaign|none|https://www.igb.illinois.edu/|Carl R. Woese Institute for Genomic Biology
UAE|Abu Dhabi|Jan 2017|The Winter Institute of Statistical Genetics in New York University Abu Dhabi|none|https://nyuad.nyu.edu/en/|New York University Abu Dhabi
Senegal|Dakar|May 2016 |The African Society of Human Genetics (AfSHG) 9th congress and the 8th H3Africa Consortium meeting|none|https://www.afshg.org/|AfSHG
Kenya|Nairobi|Nov 2015|Trend in Africa (TReND) course: Bioinformatics approaches for Next Generation Sequencing Analysis at ICIPE|none|https://www.youtube.com/watch?v=p0gJi5vYjRg|YouTube interview
Uganda|Entebbe|Nov 2018|H3ABioNet, Sage BioNetowrks and Mozilla Working Open Workshop (WOW)|none|https://mozillascience.github.io/EastAfricaWOW/|WOW page
South Africa|Cape Town|November 2015| H3ABioNet AGM| none|https://h3abionet.org|H3ABioNet page
South Africa|Cape Town|July 2018| H3ABioNet AGM| none|https://h3abionet.org|H3ABioNet page
